title,latitude,longitude,source,location,description
Godt brød,60.39069,5.32209,Katerina,toalett i 2. etasje,Stellebord med bleier og stellekluter
Galleriet,60.39307,5.32519,Katerina,ukjent,Do med stellebord. Sofa til amming i et rolig sted
Xhibition,60.39268,5.32621,Katerina,Koden hentes fra Apoteket ved siden av.,Stort toalett med stellbord og amming stol. Rent og fint
Telegrafen,60.39219,5.32571,Katerina,ukjent,Skittent og ekkelt
Bergen Storsenter,60.38932,5.33259,Katerina,Kode hentes på Cubus.,Stellematte (myk) ved vasken og toallet. Stol til amming. Toalett for liten til å ta vognen med inn. Kode hentes på Cubus.
Horisont,60.47012,5.32234,Katerina,ukjent,mangler info
IKEA,60.47616,5.33187,Katerina,ukjent,"Flere låsbare rom med stellebord, stol til amming, toalett og vask. Bleier på forespørsel."
Nygårdsparken Pavilion,60.3855,5.32615,www.bergensentrum.no/byliv_bergen/tjenester/toalett-i-bergen-sentrum/,ukjent,mangler info
"Skur 8, Bryggen",60.39783,5.32083,www.bergensentrum.no/byliv_bergen/tjenester/toalett-i-bergen-sentrum/,ukjent,mangler info
Kløverhuset,60.39436,5.32296,www.bergensentrum.no/byliv_bergen/tjenester/toalett-i-bergen-sentrum/,ukjent,mangler info
"Fisketorget, Mathallen",60.39463,5.32371,www.bergensentrum.no/byliv_bergen/tjenester/toalett-i-bergen-sentrum/,ukjent,mangler info
Soya Restaurant,60.39634,5.3269,www.bergensentrum.no/byliv_bergen/tjenester/toalett-i-bergen-sentrum/,ukjent,mangler info
Råvarene Cafe og Bio bistro,60.39189,5.33061,www.bergensentrum.no/byliv_bergen/tjenester/toalett-i-bergen-sentrum/,ukjent,mangler info
KODE 2,60.39008,5.32508,https://kodebergen.no/praktisk-tilgjengelighet,handikapptoalettet (Nøkkel hentes i resepsjonen),stellebord (uten pute)
KODE 4,60.38931,5.32851,https://kodebergen.no/praktisk-tilgjengelighet,ukjent,Nedfellbart stellebord på dametoalettet (handikappavlukket).
Bergen Offentlige Bibliotek,60.38971,5.33164,unconfirmed,handikapptoalettet,Stellebord på bibliotekets 
Lagunen,60.29756,5.3285,unconfirmed,Stellerom i hvert etasje,Stellerom med meget gode fasiliteter
Dr. Wiesener,60.40048,5.32302,TC,handikapptoalettet,Enkelt stellebord
Sletten Senter,60.35628,5.35943,TC,2. etasje forbi Kid,Stellebord I handikapptoalet. To stoler til amming
Godt Brød,60.39464,5.32708,KBJ,ukjent,Stellebord
Café Ambrosia,60.36177,5.35116,TC,toalett til venstre,Stellebord
JAJA,60.37596,5.33764,TC,handikapptoalettet,Enkelt stellebord
Verftet,60.39578,5.30823,TC,handikapptoalettet,Enkelt stellebord
Bergen Lufthavn,60.28797,5.23232,TC,Stellerom i både innland og utland,ukjent
Barnas Hus Nordås,60.30837,5.32747,TC,Baksiden,Stellerom med sofa til amming og toalett
Bod 24,60.40801,5.32137,TC,NA,Ingen fasiliteter
Hoggorm,60.38804,5.32768,TC,handikapptoalettet (utenfor baksiden),Stellebord
Oasen,60.34865,5.29109,TC,2. estasje,"Stellerom med kode (instruks på døren). To ammestol og en ammesofa. Stellematte med vask. Låsbart rom I tillegg med stellebord, toalett, og plass for vogn."
Åsane Storsenter,60.46607,5.32252,TC,ukjent,"koden hentes Ringo eller Panduro. Ammestol, mikrobølgeovn"
Horisont,60.47013,5.32226,TC,ukjent,dårlig
Kulturhuset,60.39141,5.32137,TC,handikapptoalettet i 2. etasje,"Lav kvalitet, bare trillebord"
Vestkanten,60.36234,5.23342,TC,ukjent,ukjent
Literaturhuset,60.39361,5.32855,TC,Handikapptoalettet i underetasjen (heis),koden hentes fra Colonialen Brasserie eller bokhandelen.
Cornerteateret,60.38259,5.32571,TC,Handikapptoalettet,Stellebord
